Cycle: 5  MBP-L-111  2000 nM_X	Cycle: 5  MBP-L-111  2000 nM_Y	Cycle: 6  MBP-L-111  1000 nM_X	Cycle: 6  MBP-L-111  1000 nM_Y	Cycle: 8  MBP-L-111  250 nM_X	Cycle: 8  MBP-L-111  250 nM_Y	Cycle: 9  MBP-L-111  62.5 nM_X	Cycle: 9  MBP-L-111  62.5 nM_Y	Cycle: 10  MBP-L-111  15.6 nM_X	Cycle: 10  MBP-L-111  15.6 nM_Y	Cycle: 11  MBP-L-111  3.9 nM_X	Cycle: 11  MBP-L-111  3.9 nM_Y	Cycle: 13  MBP-L-111  250 nM_X	Cycle: 13  MBP-L-111  250 nM_Y	Cycle: 14  MBP-L-111  0.98 nM_X	Cycle: 14  MBP-L-111  0.98 nM_Y
-59.985	-5.12E-03	-59.986	2.35E-03	-59.986	-0.0576862	-59.986	0.0113751	-59.986	2.25E-05	-59.986	0.0172116	-59.986	0.108192	-59.986	0.053291
-59.96	-9.45E-03	-59.961	-2.16E-03	-59.961	-0.0621941	-59.961	6.87E-03	-59.961	-4.49E-03	-59.961	0.0215309	-59.961	0.103684	-59.961	0.0487831
-59.935	-9.64E-03	-59.936	-2.35E-03	-59.936	-0.0623894	-59.936	6.67E-03	-59.936	-4.68E-03	-59.936	0.0105553	-59.936	0.103489	-59.936	0.0485878
-59.91	-9.62E-03	-59.911	-2.35E-03	-59.911	-0.0623894	-59.911	6.67E-03	-59.911	-4.68E-03	-59.911	0.0105553	-59.911	0.103489	-59.911	0.0485878
-59.885	-9.85E-03	-59.886	-1.96E-03	-59.886	-0.0620003	-59.886	6.28E-03	-59.886	-4.29E-03	-59.886	0.0109444	-59.886	0.103878	-59.886	0.0489769
-59.86	-0.0145226	-59.861	2.53E-03	-59.861	-0.0575066	-59.861	0.0115547	-59.861	2.02E-04	-59.861	0.0154381	-59.861	0.107433	-59.861	0.0534706
-59.835	-0.0145226	-59.836	2.53E-03	-59.836	-0.0575066	-59.836	0.0115547	-59.836	2.02E-04	-59.836	0.0154381	-59.836	0.096653	-59.836	0.0526924
-59.81	-0.0147396	-59.811	2.53E-03	-59.811	-0.0582848	-59.811	0.0115547	-59.811	2.02E-04	-59.811	0.0154381	-59.811	0.096653	-59.811	0.043705
-59.785	-0.0197239	-59.786	-2.88E-03	-59.786	-0.0726812	-59.786	6.15E-03	-59.786	-5.21E-03	-59.786	0.0100291	-59.786	0.10101	-59.786	0.038296
-59.76	-0.0147301	-59.761	0.0113003	-59.761	-0.0674884	-59.761	0.0113385	-59.761	-7.92E-04	-59.761	0.0152218	-59.761	0.106202	-59.761	0.0434887
-59.735	-0.0145226	-59.736	2.53E-03	-59.736	-0.0672722	-59.736	0.0115547	-59.736	-9.56E-03	-59.736	0.0154381	-59.736	0.106419	-59.736	0.043705
-59.71	-0.0145226	-59.711	2.53E-03	-59.711	-0.0672722	-59.711	0.0115547	-59.711	-9.56E-03	-59.711	0.0154381	-59.711	0.106419	-59.711	0.043705
-59.685	-0.0145226	-59.686	2.53E-03	-59.686	-0.0575066	-59.686	0.0115547	-59.686	-9.56E-03	-59.686	0.0154381	-59.686	0.106419	-59.686	0.0534706
-59.66	-0.0147099	-59.661	2.53E-03	-59.661	-0.0575066	-59.661	0.0115547	-59.661	-9.56E-03	-59.661	0.0154381	-59.661	0.106419	-59.661	0.0534706
-59.635	-0.0199955	-59.636	-2.16E-03	-59.636	-0.0621934	-59.636	6.87E-03	-59.636	-2.53E-03	-59.636	0.0107512	-59.636	0.101732	-59.636	0.0487838
-59.61	-0.0194054	-59.611	-2.35E-03	-59.611	-0.0623894	-59.611	5.89E-03	-59.611	-2.73E-03	-59.611	9.78E-03	-59.611	0.100758	-59.611	0.0485878
-59.585	-0.0194054	-59.586	-2.35E-03	-59.586	-0.0623894	-59.586	-3.09E-03	-59.586	-2.73E-03	-59.586	7.90E-04	-59.586	0.0917702	-59.586	0.0485878
-59.56	-0.0194054	-59.561	-3.13E-03	-59.561	-0.0623894	-59.561	-3.09E-03	-59.561	-3.51E-03	-59.561	7.90E-04	-59.561	0.0917702	-59.561	0.0485878
-59.535	-0.0193716	-59.536	-0.0121193	-59.536	-0.0623894	-59.536	-3.09E-03	-59.536	-0.0124931	-59.536	7.90E-04	-59.536	0.0917702	-59.536	0.0478096
-59.51	-0.0181915	-59.511	-0.0112766	-59.511	-0.0615467	-59.511	-2.25E-03	-59.511	-0.0116504	-59.511	1.63E-03	-59.511	0.0926129	-59.511	0.0396649
-59.485	-9.50E-03	-59.486	-2.03E-03	-59.486	-0.052296	-59.486	7.00E-03	-59.486	-2.40E-03	-59.486	0.010883	-59.486	0.101864	-59.486	0.0489155
-59.46	-0.0138378	-59.461	-6.77E-03	-59.461	-0.0570374	-59.461	2.26E-03	-59.461	-7.14E-03	-59.461	0.0159073	-59.461	0.0971222	-59.461	0.0441742
-59.435	-8.66E-03	-59.436	-1.38E-03	-59.436	-0.0516472	-59.436	7.65E-03	-59.436	-1.75E-03	-59.436	0.0212975	-59.436	0.102512	-59.436	0.0495644
-59.41	-9.60E-03	-59.411	-1.38E-03	-59.411	-0.0516472	-59.411	7.65E-03	-59.411	-1.75E-03	-59.411	0.0212975	-59.411	0.102512	-59.411	0.0495644
-59.385	-0.0203819	-59.386	-1.38E-03	-59.386	-0.0524254	-59.386	0.0166359	-59.386	-1.75E-03	-59.386	0.0212975	-59.386	0.112278	-59.386	0.0495644
-59.36	-0.0203819	-59.361	7.45E-03	-59.361	-0.0614128	-59.361	7.65E-03	-59.361	-1.75E-03	-59.361	0.0212975	-59.361	0.1115	-59.361	0.0495644
-59.335	-0.0203819	-59.336	-3.33E-03	-59.336	-0.0614128	-59.336	7.65E-03	-59.336	-1.75E-03	-59.336	0.0212975	-59.336	0.102512	-59.336	0.05933
-59.31	-0.0203669	-59.311	-3.33E-03	-59.311	-0.0614128	-59.311	7.65E-03	-59.311	-2.53E-03	-59.311	0.0205193	-59.311	0.102512	-59.311	0.05933
-59.285	-0.0200601	-59.286	-2.96E-03	-59.286	-0.0610392	-59.286	8.02E-03	-59.286	-0.011143	-59.286	0.0119054	-59.286	0.102886	-59.286	0.0597036
-59.26	-0.0213058	-59.261	-4.25E-03	-59.261	-0.0623345	-59.261	6.73E-03	-59.261	-0.0124383	-59.261	0.0106101	-59.261	0.101591	-59.261	0.0574698
-59.235	-0.0115929	-59.236	-4.31E-03	-59.236	-0.0623894	-59.236	6.67E-03	-59.236	-0.0124931	-59.236	0.0105553	-59.236	0.101536	-59.236	0.0466347
-59.21	-0.0117881	-59.211	-4.31E-03	-59.211	-0.0623894	-59.211	6.67E-03	-59.211	-0.0124931	-59.211	0.0105553	-59.211	0.101536	-59.211	0.0466347
-59.185	-0.0164757	-59.186	-9.19E-03	-59.186	-0.0672722	-59.186	1.79E-03	-59.186	-0.0173759	-59.186	5.67E-03	-59.186	0.096653	-59.186	0.0417519
-59.16	-0.0164757	-59.161	-9.19E-03	-59.161	-0.0672722	-59.161	8.51E-04	-59.161	-0.0173759	-59.161	5.67E-03	-59.161	0.096653	-59.161	0.0417519
-59.135	-0.0164601	-59.136	-9.19E-03	-59.136	-0.0672722	-59.136	-9.93E-03	-59.136	-0.0173759	-59.136	5.67E-03	-59.136	0.096653	-59.136	0.0417519
-59.11	-0.0166851	-59.111	-8.80E-03	-59.111	-0.0668831	-59.111	-9.54E-03	-59.111	-0.0169868	-59.111	5.28E-03	-59.111	0.0962639	-59.111	0.042141
-59.085	-0.0213436	-59.086	-4.31E-03	-59.086	-0.0623894	-59.086	-5.05E-03	-59.086	-0.0124931	-59.086	7.90E-04	-59.086	0.0917702	-59.086	0.0466347
-59.06	-0.0208113	-59.061	-4.71E-03	-59.061	-0.0522503	-59.061	-4.67E-03	-59.061	-0.0128978	-59.061	1.16E-03	-59.061	0.0921437	-59.061	0.0470082
-59.035	-0.0166482	-59.036	-9.37E-03	-59.036	-0.0479206	-59.036	-3.44E-04	-59.036	-0.0175556	-59.036	5.49E-03	-59.036	0.0964733	-59.036	0.0513378
