Cycle:_4_1C-3_0.1_nM_X_time,(RU),Cycle:_5_1C-3_1_nM_X_time,(RU),Cycle:_6_1C-3_10_nM_X_time,(RU),Cycle:_7_1C-3_1000_nM_X_time,(RU)
-60.064,0.00357056,-60.064,0.0551758,-60.064,0.0102539,-60.064,0.035553
-59.964,0.00357056,-59.964,0.0551758,-59.964,0.0102539,-59.964,0.035553
-59.864,0.00357056,-59.864,0.0551758,-59.864,0.0102539,-59.864,0.035553
-59.764,0.00357056,-59.764,0.0551758,-59.764,0.0102539,-59.764,0.035553
-59.664,0.00357056,-59.664,0.0586853,-59.664,0.0102539,-59.664,0.035553
-59.564,6.10352E-05,-59.564,0.0579224,-59.564,0.00674438,-59.564,0.0320435
-59.464,0.00708008,-59.464,0.0489197,-59.464,0.0039978,-59.464,0.0292969
-59.364,6.10352E-05,-59.364,0.0516663,-59.364,0.00674438,-59.364,0.0320435
-59.264,0.00357056,-59.264,0.0489197,-59.264,0.000488281,-59.264,0.0257874
-59.164,0.00357056,-59.164,0.0454102,-59.164,0.000488281,-59.164,0.0257874
-59.064,0.00357056,-59.064,0.0454102,-59.064,0.000488281,-59.064,0.0257874
-58.964,0.00357056,-58.964,0.0454102,-58.964,0.000488281,-58.964,0.0257874
-58.864,0.00357056,-58.864,0.0454102,-58.864,0.000488281,-58.864,0.0257874
-58.764,0.00357056,-58.764,0.0454102,-58.764,0.000488281,-58.764,0.0257874
-58.664,0.00357056,-58.664,0.0454102,-58.664,0.000488281,-58.664,0.0257874
-58.564,0.00357056,-58.564,0.0454102,-58.564,0.000488281,-58.564,0.0257874
-58.464,0.00357056,-58.464,0.0454102,-58.464,0.000488281,-58.464,0.0257874
-58.364,0.0133362,-58.364,0.0551758,-58.364,0.0102539,-58.364,0.035553
-58.264,0.0133362,-58.264,0.0551758,-58.264,0.0102539,-58.264,0.035553
-58.164,0.0133362,-58.164,0.0551758,-58.164,0.0102539,-58.164,0.035553
-58.064,0.0133362,-58.064,0.0551758,-58.064,0.0102539,-58.064,0.035553
-57.964,0.0133362,-57.964,0.0454102,-57.964,0.0137634,-57.964,0.035553
-57.864,0.0133362,-57.864,0.0551758,-57.864,0.0200195,-57.864,0.035553
-57.764,0.0133362,-57.764,0.0551758,-57.764,0.01651,-57.764,0.035553
-57.664,0.0133362,-57.664,0.0551758,-57.664,0.0102539,-57.664,0.035553
-57.564,0.0133362,-57.564,0.0454102,-57.564,0.0102539,-57.564,0.035553
-57.464,0.0133362,-57.464,0.0454102,-57.464,0.0102539,-57.464,0.0257874
-57.364,0.0133362,-57.364,0.0454102,-57.364,0.0102539,-57.364,0.0257874
-57.264,0.0133362,-57.264,0.0551758,-57.264,0.0102539,-57.264,0.0257874
-57.164,0.00982666,-57.164,0.0516663,-57.164,0.00674438,-57.164,0.0222778
-57.064,0.00357056,-57.064,0.0454102,-57.064,0.0039978,-57.064,0.0160217
-56.964,0.00982666,-56.964,0.0551758,-56.964,0.0200195,-56.964,0.0292969
-56.864,0.00708008,-56.864,0.0551758,-56.864,0.0200195,-56.864,0.035553
-56.764,0.0133362,-56.764,0.0551758,-56.764,0.0200195,-56.764,0.035553
-56.664,0.0133362,-56.664,0.0551758,-56.664,0.0200195,-56.664,0.035553
-56.564,0.0133362,-56.564,0.0551758,-56.564,0.0200195,-56.564,0.035553
-56.464,0.0133362,-56.464,0.0551758,-56.464,0.0200195,-56.464,0.035553
-56.364,0.0133362,-56.364,0.0551758,-56.364,0.0200195,-56.364,0.035553
-56.264,0.0133362,-56.264,0.0551758,-56.264,0.0200195,-56.264,0.035553
-56.164,0.0133362,-56.164,0.0551758,-56.164,0.0200195,-56.164,0.035553
-56.064,0.0133362,-56.064,0.0551758,-56.064,0.0200195,-56.064,0.035553
-55.964,0.0133362,-55.964,0.0551758,-55.964,0.0200195,-55.964,0.035553
-55.864,0.0133362,-55.864,0.0551758,-55.864,0.0200195,-55.864,0.0257874
-55.764,0.0250549,-55.764,0.0668945,-55.764,0.0219727,-55.764,0.0375061
-55.664,0.0250549,-55.664,0.0668945,-55.664,0.0219727,-55.664,0.0375061
-55.564,0.0250549,-55.564,0.0668945,-55.564,0.0254822,-55.564,0.0375061
-55.464,0.0250549,-55.464,0.0668945,-55.464,0.0317383,-55.464,0.0375061
-55.364,0.0250549,-55.364,0.0571289,-55.364,0.0317383,-55.364,0.0375061
-55.264,0.0215454,-55.264,0.063385,-55.264,0.0282288,-55.264,0.0339966
-55.164,0.0152893,-55.164,0.0515747,-55.164,0.0219727,-55.164,0.0277405
-55.064,0.0152893,-55.064,0.0688477,-55.064,0.0219727,-55.064,0.0277405
-54.964,0.0152893,-54.964,0.0688477,-54.964,0.0219727,-54.964,0.03125
-54.864,0.0152893,-54.864,0.0688477,-54.864,0.0219727,-54.864,0.0375061
-54.764,0.0152893,-54.764,0.0688477,-54.764,0.0219727,-54.764,0.0339966
