s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
-2.36401	0.0320435	-2.36401	0.038474163	-2.36401	-0.01836241
-2.264	0.0264893	-2.264	0.031805316	-2.264	-0.01759032
-2.164	0.0235291	-2.164	0.028251047	-2.164	-0.02309571
-2.064	0.0160217	-2.064	0.019237021	-2.064	-0.01923526
-1.964	0.0187378	-1.964	0.022498203	-1.964	-0.016214
-1.86401	-0.00973511	-1.86401	-0.011688804	-1.86401	-0.02685551
-1.764	0.00695801	-1.764	0.008354381	-1.764	-0.006848149
-1.664	-0.00421143	-1.664	-0.005056603	-1.664	-0.02138367
-1.564	-0.0152283	-1.564	-0.018284397	-1.564	-0.02524412
-1.464	-0.0152283	-1.464	-0.018284397	-1.464	-0.02524412
-1.36401	-0.0285034	-1.36401	-0.034223616	-1.36401	-0.01836241
-1.264	0.0328064	-1.264	0.039390166	-1.264	0.04521792
-1.164	0.0925903	-1.164	0.111171821	-1.164	0.1148411
-1.064	0.141418	-1.064	0.169798528	-1.064	0.1724118
-0.964005	0.146881	-0.964005	0.176357872	-0.964005	0.1173249
-0.864006	0.179688	-0.864006	0.215748758	-0.864006	0.2495548
-0.764	0.209778	-0.764	0.251877382	-0.764	0.4323726
-0.664001	0.283508	-0.664001	0.340403916	-0.664001	0.4599331
-0.564003	0.143829	-0.564003	0.17269338	-0.564003	0.1178287
-0.464005	-0.3508	-0.464005	-0.421200438	-0.464005	-0.5136439
-0.364006	-0.310699	-0.364006	-0.373051753	-0.364006	-0.3918552
-0.264	-0.63266	-0.264	-0.759625625	-0.264	-0.2943358
-0.164001	-0.222046	-0.164001	-0.26660739	-0.164001	-0.2853059
-0.064003	-0.0414734	-0.064003	-0.049796506	-0.064003	-0.09906314
0.0359955	0.724026593	0.0359955	0.869328159	0.0359955	-0.040488368
0.135994	2.81570759	0.135994	3.380778994	0.135994	0.427375949
0.236	6.2363076	0.236	7.487843485	0.236	0.58170156
0.335999	10.2708376	0.335999	7.484911363	0.335999	0.826733158
0.435997	14.0296976	0.435997	7.541927639	0.435997	1.032554155
0.535995	16.96885759	0.535995	7.59283263	0.535995	0.957098551
0.635994	19.27951759	0.635994	7.642842194	0.635994	1.008769949
0.736	20.74094867	0.736	7.708611263	0.736	1.14128036
0.835999	20.76493387	0.835999	7.754692144	0.835999	1.181903358
0.935997	20.79660507	0.935997	7.807779737	0.935997	1.277416355
1.036	20.83157027	1.036	7.866542094	1.036	1.37608636
1.13599	20.86324147	1.13599	7.92355837	1.13599	1.408492342
1.236	20.88210267	1.236	7.978392045	1.236	1.49460036
1.336	20.91133387	1.336	8.035408321	1.336	1.55225136
1.436	20.94727507	1.436	8.077571711	1.436	1.60277436
1.536	20.97211427	1.536	8.125398674	1.536	1.65055836
1.63599	21.00951947	1.63599	8.18241495	1.63599	1.690444342
1.736	21.03594467	1.736	8.248172826	1.736	1.75446436
1.836	21.06005187	1.836	8.301271612	1.836	1.81188436
1.936	21.07976707	1.936	8.351281176	1.936	1.88557336
2.036	21.12424827	2.036	8.40611485	2.036	1.93643736
2.13599	21.15823747	2.13599	8.452206924	2.13599	1.994121342
2.236	21.17807467	2.236	8.502317224	2.236	2.05760236
2.336	21.20632987	2.336	8.56186308	2.336	2.09252736
2.436	21.24898107	2.436	8.616696754	2.436	2.14933136
2.536	21.28053027	2.536	8.67371303	2.536	2.20070136
2.63599	21.30036747	2.63599	8.71587642	2.63599	2.260596342
2.736	21.32862267	2.736	8.763703383	2.736	2.32737736
2.836	21.35260787	2.836	8.835583737	2.836	2.37441336
2.936	21.37903307	2.936	8.89741293	2.936	2.44803636
3.036	21.42693027	3.036	8.939576321	3.036	2.50958136
3.13599	21.45091547	3.13599	8.987403283	3.13599	2.575592342
